city,state,population,lat,lng
Anchor Point,AK,2057.0,59.7703,-151.7052
Anchorage,AK,253421.0,61.1508,-149.1091
Barrow,AK,4178.0,,
Big Lake,AK,3136.0,61.526,-149.9721
Copper Center,AK,397.0,61.9845,-145.3544
Fairbanks,AK,64732.0,64.8353,-147.6534
Houston,AK,2347.0,61.6159,-149.8003
Juneau,AK,25180.0,58.4546,-134.1739
Kasilof,AK,483.0,60.331,-151.2293
Kenai Peninsula,AK,4178.0,,
Nikolaevsk,AK,279.0,59.8295,-151.5964
North Pole,AK,2101.0,64.753,-147.36
Palmer,AK,7209.0,61.5971,-149.1147
Pilot Station,AK,620.0,61.9422,-162.8828
Seward,AK,2831.0,60.1124,-149.3925
Spenard,AK,4178.0,,
Wasilla,AK,10151.0,61.577,-149.4661
Abbeville,AL,2567.0,31.5664,-85.2528
Albertville,AL,37220.0,34.2634,-86.2107
Anniston,AL,75169.0,33.6713,-85.8136
Arab,AL,8244.0,34.3309,-86.4991
Ariton,AL,739.0,31.5978,-85.7131
Ashville,AL,2291.0,33.8331,-86.2698
Atmore,AL,6368.0,31.0927,-87.4763
Baldwin County,AL,4178.0,,
Barnwell,AL,4178.0,,
Bay Minette,AL,8532.0,30.893,-87.7912
Birmingham,AL,744189.0,33.5277,-86.7987
Brooksville,AL,4178.0,,
Chunchula,AL,158.0,30.9237,-88.2072
Citronelle,AL,3900.0,31.0952,-88.2467
Clanton,AL,5876.0,32.8439,-86.623
Clay,AL,9599.0,33.698,-86.6066
Coden,AL,4178.0,,
Crenshaw County,AL,4178.0,,
Dadeville,AL,3106.0,32.8326,-85.7675
Daphne,AL,69065.0,30.6286,-87.8866
Deer Park,AL,81.0,31.2198,-88.3226
Demopolis,AL,5907.0,32.498,-87.8298
Eastaboga,AL,4178.0,,
Eclectic,AL,1020.0,32.6387,-86.0386
Elkmont,AL,473.0,34.9291,-86.9767
Eufaula,AL,8727.0,31.9102,-85.1505
Fairhope,AL,20935.0,30.522,-87.8816
Florence,AL,78112.0,34.8303,-87.6654
Gadsden,AL,61656.0,34.009,-86.0156
Gordo,AL,1644.0,33.322,-87.904
Hamilton,AL,6646.0,34.1346,-87.9755
Hanceville,AL,3352.0,34.0634,-86.7652
Haynesville,AL,4178.0,,
Homewood,AL,25476.0,33.4617,-86.8092
Hoover,AL,84920.0,33.3754,-86.8065
Huntsville,AL,309716.0,34.6988,-86.6412
Jackson County,AL,4178.0,,
Jacksonville,AL,12612.0,33.8088,-85.7544
Killeen,AL,4178.0,,
Lawrence County,AL,4178.0,,
Leeds,AL,12031.0,33.5429,-86.5636
Luverne,AL,2770.0,31.7186,-86.2687
Macon County,AL,4178.0,,
Madison,AL,48861.0,34.7114,-86.7626
Meridianville,AL,6731.0,34.8729,-86.5722
Millbrook,AL,15318.0,32.5035,-86.3728
Mobile,AL,318084.0,30.6782,-88.1163
Monroeville,AL,4395.0,31.5162,-87.3279
Montgomery,AL,255908.0,32.3473,-86.2666
Morris,AL,1970.0,33.7467,-86.8036
Muscle Shoals,AL,14022.0,34.7435,-87.6343
Ohatchee,AL,1157.0,33.7877,-86.0278
Opelika,AL,30240.0,32.6621,-85.3772
Opp,AL,4668.0,31.2848,-86.257
Oxford,AL,21180.0,33.5966,-85.869
Ozark,AL,11678.0,31.4508,-85.6473
Pell City,AL,11952.0,33.5609,-86.2668
Phenix City,AL,36219.0,32.4588,-85.0251
Piedmont,AL,3471.0,33.9267,-85.6157
Prichard,AL,21732.0,30.7735,-88.1301
Rainbow City,AL,9555.0,33.9337,-86.0922
Ranburne,AL,404.0,33.5259,-85.339
Saraland,AL,14576.0,30.8457,-88.099
Selma,AL,21083.0,32.4166,-87.0336
Semmes,AL,4934.0,30.7886,-88.2342
Sylacauga,AL,17307.0,33.1779,-86.2606
Talladega,AL,13277.0,33.4329,-86.0976
Tuscaloosa,AL,154204.0,33.2348,-87.5266
Tuscumbia,AL,8398.0,34.7204,-87.7035
Vestavia Hills,AL,34291.0,33.4518,-86.7438
Washington County,AL,4178.0,,
Westover,AL,1682.0,33.3692,-86.5354
Alexander,AR,3057.0,34.6185,-92.4512
Atkins,AR,3038.0,35.2414,-92.9465
Austin,AR,3282.0,35.0069,-91.9896
Batesville,AR,12050.0,35.7687,-91.6226
Benton,AR,35789.0,34.5771,-92.5715
Bentonville,AR,49298.0,36.355,-94.2299
Blytheville,AR,16388.0,35.9322,-89.9051
Bryant,AR,20194.0,34.6152,-92.4912
Bull Shoals,AR,1944.0,36.3747,-92.5902
Cabot,AR,26141.0,34.9764,-92.0273
Clarksville,AR,7664.0,35.4569,-93.4803
Desha,AR,4178.0,,
Dover,AR,1407.0,35.391,-93.1143
England,AR,2683.0,34.5459,-91.969
Farmington,AR,6893.0,36.037,-94.2537
Fayetteville,AR,341890.0,36.0713,-94.166
Formosa,AR,4178.0,,
Forrest City,AR,12728.0,35.0102,-90.7874
Fort Smith,AR,125562.0,35.3493,-94.3695
Hackett,AR,825.0,35.1877,-94.4107
Helena,AR,4178.0,,
Helena-West Helena,AR,9864.0,34.5314,-90.6201
Jacksonville,AR,28513.0,34.8807,-92.1302
Jonesboro,AR,73788.0,35.8211,-90.6793
Little Rock,AR,442699.0,34.7255,-92.358
London,AR,1051.0,35.328,-93.2417
Lone Rock,AR,4178.0,,
Lowell,AR,9215.0,36.2563,-94.1518
Magnolia,AR,10339.0,33.2774,-93.2261
Manila,AR,3064.0,35.8848,-90.1648
Marion,AR,12440.0,35.2041,-90.2061
Mena,AR,5339.0,34.581,-94.2374
Mississippi County,AR,4178.0,,
Mountain Pine,AR,773.0,34.5693,-93.1726
Mulberry,AR,1641.0,35.5102,-94.0734
North Little Rock,AR,65911.0,34.7807,-92.2372
Ozark,AR,3090.0,35.4995,-93.8431
Perryville,AR,1436.0,35.012,-92.803
Pine Bluff,AR,46850.0,34.2116,-92.0178
Pope County,AR,4178.0,,
Rector,AR,1799.0,36.2642,-90.2936
Romance,AR,4178.0,,
Rose Bud,AR,487.0,35.325,-92.0812
Russellville,AR,34373.0,35.2763,-93.1383
Searcy County,AR,4178.0,,
Sheridan,AR,4731.0,34.2996,-92.4225
Shirley,AR,276.0,35.6442,-92.3137
Sims,AR,4178.0,,
Springdale,AR,79599.0,36.1898,-94.1573
St. Francis County,AR,4178.0,,
Stone County,AR,4178.0,,
Strong,AR,520.0,33.1079,-92.3598
Trumann,AR,6951.0,35.6761,-90.5231
Van Buren,AR,23509.0,35.448,-94.3529
Warren,AR,5463.0,33.6113,-92.0678
West Memphis,AR,24860.0,35.1531,-90.1995
Yellville,AR,1159.0,36.2289,-92.686
Ahwatukee,AZ,4178.0,,
Apache Junction,AZ,40538.0,33.3985,-111.5351
Avondale,AZ,217192.0,33.3858,-112.3236
Bisbee,AZ,5160.0,31.4126,-109.9178
Buckeye,AZ,68453.0,33.4314,-112.6429
Bullhead City,AZ,49531.0,35.1205,-114.546
Casa Grande,AZ,58632.0,32.9068,-111.7624
Chandler,AZ,253458.0,33.2827,-111.8517
Chinle,AZ,5698.0,36.1504,-109.5793
Clarkdale,AZ,4330.0,34.7501,-112.0549
Cottonwood,AZ,12023.0,34.7194,-112.0015
Douglas,AZ,16438.0,31.3602,-109.5394
Eagar,AZ,6089.0,34.1058,-109.2956
Ehrenberg,AZ,844.0,33.6174,-114.4883
El Mirage,AZ,35216.0,33.5905,-112.3271
Flagstaff,AZ,78628.0,35.1872,-111.6195
Florence,AZ,16935.0,33.059,-111.4209
Gilbert,AZ,242354.0,33.3103,-111.7463
Glendale,AZ,246709.0,33.5797,-112.2258
Globe,AZ,13198.0,33.3869,-110.7514
Golden Shores,AZ,1294.0,34.7819,-114.4777
Golden Valley,AZ,8694.0,35.206,-114.2327
Goodyear,AZ,79858.0,33.2614,-112.3622
Grand Canyon Caverns,AZ,4178.0,,
Kearny,AZ,2095.0,33.0564,-110.9074
Kingman,AZ,44212.0,35.217,-114.0105
La Paz County,AZ,4178.0,,
Lake Havasu,AZ,4178.0,,
Lake Havasu City,AZ,55341.0,34.5006,-114.3113
Marana,AZ,44792.0,32.4355,-111.1558
Maricopa,AZ,46741.0,33.0404,-112.0006
Mesa,AZ,496401.0,33.4017,-111.7181
Morenci,AZ,1689.0,33.0531,-109.3307
Parker,AZ,4730.0,34.0286,-114.2224
Parks,AZ,1652.0,35.2939,-111.9771
Paulden,AZ,5064.0,34.8899,-112.4938
Peoria,AZ,168181.0,33.7844,-112.299
Phoenix,AZ,4081849.0,33.5722,-112.0891
Picture Rocks,AZ,8666.0,32.3274,-111.2558
Pima,AZ,2513.0,32.8886,-109.8437
Pima County,AZ,4178.0,,
Pinetop,AZ,4178.0,,
Pinetop-Lakeside,AZ,4361.0,34.1486,-109.9658
Prescott,AZ,42731.0,34.585,-112.4475
Quartzsite,AZ,3357.0,33.6675,-114.217
Red Valley,AZ,4178.0,,
Salt River Reservation,AZ,4178.0,,
San Manuel,AZ,3714.0,32.6091,-110.6415
Scottsdale,AZ,249950.0,33.6872,-111.8651
Sedona,AZ,6967.0,34.8574,-111.7951
Show Low,AZ,10837.0,34.2671,-110.0384
Sierra Vista,AZ,51571.0,31.563,-110.3153
Somerton,AZ,19168.0,32.6009,-114.699
Sun City,AZ,39000.0,33.6165,-112.2819
Surprise,AZ,134085.0,33.68,-112.4524
Tempe,AZ,185038.0,33.3881,-111.9318
Three Points,AZ,5453.0,32.0596,-111.2865
Tolleson,AZ,7205.0,33.4484,-112.2561
Tonalea,AZ,335.0,36.3218,-110.9667
Tucson,AZ,868391.0,32.1545,-110.8782
Tuscson,AZ,4178.0,,
Wilhoit,AZ,870.0,34.4083,-112.6156
Winslow,AZ,9508.0,35.0252,-110.7098
Youngtown,AZ,6760.0,33.5846,-112.3047
Yuma,AZ,138802.0,32.5991,-114.5488
Adelanto,CA,34066.0,34.5815,-117.4397
Aguanga,CA,830.0,33.4522,-116.8555
Alhambra,CA,85396.0,34.084,-118.1355
Alpine,CA,14795.0,32.8439,-116.7585
Anaheim,CA,352497.0,33.839,-117.8573
Anderson,CA,10370.0,40.451,-122.2962
Antelope,CA,47728.0,38.7153,-121.361
Antioch,CA,302885.0,37.9789,-121.7957
Apple Valley,CA,73077.0,34.5328,-117.2104
Arcata,CA,33806.0,40.8615,-124.0757
Artesia,CA,16904.0,33.8676,-118.0806
Ashland,CA,24477.0,37.6942,-122.1159
Atascadero,CA,30418.0,35.4827,-120.6858
Atwater,CA,29397.0,37.3543,-120.5981
Auburn,CA,34818.0,38.895,-121.0777
Avenal,CA,12425.0,36.0312,-120.116
Azusa,CA,49864.0,34.1386,-117.9124
Bakersfield,CA,574362.0,35.353,-119.0359
Baldwin Hills,CA,4178.0,,
Banning,CA,31230.0,33.9461,-116.8991
Barona Indian Reservation,CA,4178.0,,
Barstow,CA,30606.0,34.8661,-117.0472
Bassett,CA,4178.0,,
Beaumont,CA,46967.0,33.907,-116.9762
Bell,CA,35811.0,33.9801,-118.1798
Bell Gardens,CA,42747.0,33.9663,-118.155
Bellflower,CA,77772.0,33.888,-118.1271
Big Sur,CA,4178.0,,
Boulder Creek,CA,4359.0,37.1341,-122.1271
Boyle Heights,CA,4178.0,,
Brawley,CA,26472.0,32.9783,-115.5288
Brea,CA,42777.0,33.9254,-117.8654
Burbank,CA,104834.0,34.1879,-118.3235
Butte County,CA,4178.0,,
Byron,CA,1480.0,37.8756,-121.6421
Cabazon,CA,3928.0,33.9127,-116.7828
Calabasas,CA,24202.0,34.1375,-118.6689
Calaveras County,CA,4178.0,,
Calexico,CA,40351.0,32.6849,-115.4944
Calimesa,CA,8817.0,33.9874,-117.0542
Camarillo,CA,74682.0,34.223,-119.0322
Campo,CA,2971.0,32.6394,-116.4745
Carmichael,CA,65091.0,38.6337,-121.323
Carson,CA,92735.0,33.8374,-118.2559
Castaic,CA,19299.0,34.4818,-118.6317
Cathedral City,CA,54596.0,33.8363,-116.4642
Ceres,CA,48697.0,37.5953,-120.9625
Cerritos,CA,51020.0,33.8677,-118.0686
Charleston View,CA,4178.0,,
Chatsworth,CA,4178.0,,
Chico,CA,106268.0,39.7575,-121.8152
Chino,CA,89797.0,33.9836,-117.6654
Chino Hills,CA,80374.0,33.9507,-117.7253
Chowchilla,CA,11740.0,37.1095,-120.2349
Chula Vista,CA,270471.0,32.6281,-117.0145
Citrus Heights,CA,87931.0,38.6948,-121.288
City Terrace,CA,4178.0,,
Clearlake Oaks,CA,2275.0,39.0218,-122.6593
Clearlake Park,CA,4178.0,,
Cloverdale,CA,9362.0,38.7962,-123.0154
Clovis,CA,109691.0,36.8277,-119.6838
Coalinga,CA,15915.0,36.1432,-120.3266
Colton,CA,54828.0,34.0538,-117.3254
Compton,CA,97612.0,33.893,-118.2275
Concord,CA,654770.0,37.9722,-122.0016
Corning,CA,8473.0,39.9282,-122.182
Corona,CA,167836.0,33.862,-117.5641
Cottonwood,CA,3268.0,40.3904,-122.2861
Covina,CA,48462.0,34.0903,-117.8817
Crescent City,CA,15886.0,41.7727,-124.1902
Daly City,CA,107074.0,37.6863,-122.4684
Danville,CA,44786.0,37.8121,-121.9698
Davis,CA,76524.0,38.5552,-121.7365
Del Mar,CA,4363.0,32.9633,-117.2627
Delano,CA,54471.0,35.767,-119.2637
Delhi,CA,11622.0,37.4306,-120.7759
Desert Hot Springs,CA,43730.0,33.9551,-116.543
Dinuba,CA,24034.0,36.5453,-119.3987
Douglas City,CA,533.0,40.6636,-122.9261
Downey,CA,113092.0,33.9379,-118.1312
Duarte,CA,21757.0,34.1609,-117.9504
Dunsmuir,CA,1580.0,41.2319,-122.2714
Durham,CA,5819.0,39.6232,-121.7875
East Hollywood,CA,4178.0,,
East Los Angeles,CA,123905.0,34.0326,-118.1691
Edison,CA,4178.0,,
El Cajon,CA,103894.0,32.8017,-116.9604
El Centro,CA,112145.0,32.7867,-115.5586
El Cerrito,CA,25515.0,37.9197,-122.3025
El Monte,CA,116109.0,34.0739,-118.0291
El Sereno,CA,4178.0,,
Elk Grove,CA,171844.0,38.416,-121.384
Emeryville,CA,11758.0,37.8382,-122.2932
Encinitas,CA,63184.0,33.049,-117.2613
Escalon,CA,7615.0,37.7912,-120.9981
Escondido,CA,151969.0,33.1347,-117.0723
Eureka,CA,45010.0,40.7941,-124.1568
Fair Oaks,CA,30704.0,38.6504,-121.2497
Fairfield,CA,147582.0,38.2594,-122.0319
Florence,CA,4178.0,,
Fontana,CA,211815.0,34.0968,-117.4599
Foresthill,CA,1475.0,39.0053,-120.8313
Fountain Valley,CA,56313.0,33.7105,-117.9514
Fremont,CA,234962.0,37.5265,-121.9852
Fresno,CA,698021.0,36.7831,-119.7941
Fullerton,CA,140392.0,33.8841,-117.9279
Garden Grove,CA,174226.0,33.7787,-117.9601
Gardena,CA,60224.0,33.8944,-118.3073
Gilroy,CA,116235.0,37.0047,-121.5856
Glen Valley,CA,4178.0,,
Glendale,CA,203054.0,34.1818,-118.2468
Glendora,CA,52445.0,34.1449,-117.8467
Goleta,CA,31116.0,34.436,-119.8595
Grand Terrace,CA,12595.0,34.0312,-117.3132
Grass Valley,CA,34650.0,39.2237,-121.0521
Grover Beach,CA,13628.0,35.1204,-120.6199
Hacienda Heights,CA,54155.0,33.997,-117.9728
Half Moon Bay,CA,23540.0,37.4688,-122.4383
Hanford,CA,92066.0,36.3264,-119.6544
Happy Valley,CA,4178.0,,
Hawaiian Gardens,CA,14450.0,33.8303,-118.0728
Hawthorne,CA,87854.0,33.9146,-118.3476
Hayward,CA,160500.0,37.6328,-122.0772
Hemet,CA,176892.0,33.7341,-116.9969
Herald,CA,1125.0,38.2913,-121.2318
Hesperia,CA,94859.0,34.3975,-117.3147
Highgrove,CA,4302.0,34.0106,-117.3098
Highland,CA,55342.0,34.1113,-117.1654
Hollywood,CA,4178.0,,
Hollywood Hills,CA,4178.0,,
Home Garden,CA,1881.0,36.303,-119.637
Hope Ranch,CA,4178.0,,
Huntington Beach,CA,201874.0,33.696,-118.0025
Huntington Park,CA,58822.0,33.98,-118.2167
Huron,CA,7311.0,36.204,-120.0961
Imperial County,CA,4178.0,,
Indio,CA,408097.0,33.7346,-116.2346
Industry,CA,204.0,34.0175,-117.9268
Inglewood,CA,110598.0,33.9566,-118.3444
Inyokern,CA,731.0,35.6546,-117.8213
Irvine,CA,277453.0,33.6772,-117.7738
Jamestown,CA,2618.0,37.9574,-120.411
Joshua Tree,CA,7020.0,34.1236,-116.3128
Jurupa Valley,CA,106028.0,34.001,-117.4706
Kings County,CA,4178.0,,
La Habra,CA,62466.0,33.9278,-117.9513
La Mirada,CA,49095.0,33.9025,-118.0093
La Quinta,CA,41304.0,33.6536,-116.2785
Ladera Heights,CA,7081.0,33.9972,-118.374
Laguna Niguel,CA,66334.0,33.5275,-117.705
Laguna Woods,CA,16200.0,33.6099,-117.7299
Lake Elsinore,CA,66411.0,33.6846,-117.3344
Lake Forest,CA,84293.0,33.6606,-117.6712
Lakewood,CA,80967.0,33.8471,-118.1221
Lamont,CA,15597.0,35.2651,-118.9159
Lancaster,CA,349218.0,34.6934,-118.1753
Lemon Grove,CA,27108.0,32.7331,-117.0344
Lemoore,CA,26355.0,36.296,-119.7983
Lincoln,CA,47674.0,38.8759,-121.2916
Linda,CA,19072.0,39.1242,-121.5421
Livermore,CA,91030.0,37.6861,-121.7608
Lodi,CA,72890.0,38.1218,-121.2933
Lompoc,CA,52856.0,34.6618,-120.4714
Long Beach,CA,469450.0,33.798,-118.1675
Los Angeles,CA,12815475.0,34.1139,-118.4068
Los Banos,CA,39122.0,37.0631,-120.8405
Lynwood,CA,71099.0,33.924,-118.2017
Madera,CA,83636.0,36.964,-120.0803
Madera County,CA,4178.0,,
Marina,CA,22145.0,36.6812,-121.7894
Martinez,CA,38373.0,37.9985,-122.116
Marysville,CA,12413.0,39.1518,-121.5836
Maywood,CA,27586.0,33.9885,-118.1877
McKinneyville,CA,4178.0,,
Meadow Vista,CA,3448.0,39.0029,-121.0304
Mecca,CA,7893.0,33.5767,-116.0645
Menifee,CA,90595.0,33.6909,-117.1849
Merced,CA,144117.0,37.3057,-120.4779
Milpitas,CA,78106.0,37.434,-121.8921
Modesto,CA,381398.0,37.6374,-121.0028
Mojave,CA,4222.0,35.0139,-118.1895
Montclair,CA,39276.0,34.0714,-117.6981
Montebello,CA,63192.0,34.0155,-118.1108
Monterey,CA,28639.0,36.5922,-121.8807
Monterey Park,CA,61044.0,34.0497,-118.1326
Moreno Valley,CA,207226.0,33.9244,-117.2045
Murrieta,CA,483681.0,33.572,-117.1909
Muscoy,CA,12968.0,34.1548,-117.3482
Napa,CA,87032.0,38.2976,-122.3011
Napa Valley,CA,4178.0,,
Natomas,CA,4178.0,,
Needles,CA,8807.0,34.8164,-114.6189
Newark,CA,47531.0,37.5204,-122.0312
Newman,CA,11360.0,37.3157,-121.0211
Newport Beach,CA,86160.0,33.6151,-117.8669
Nice,CA,2496.0,39.1266,-122.8525
Nipton,CA,4178.0,,
Norco,CA,26761.0,33.9253,-117.55
North Hills,CA,4178.0,,
North Hollywood,CA,4178.0,,
Norwalk,CA,106084.0,33.9069,-118.0829
Oak Park,CA,14440.0,34.1849,-118.7669
Oak View,CA,4472.0,34.399,-119.2976
Oakland,CA,425195.0,37.7903,-122.2165
Oceanside,CA,176193.0,33.2247,-117.3083
Olivehurst,CA,13500.0,39.0817,-121.5549
Olympic Valley,CA,4178.0,,
Ono,CA,4178.0,,
Ontario,CA,175841.0,34.0393,-117.6064
Orange,CA,140560.0,33.8038,-117.8218
Orcutt,CA,30001.0,34.8668,-120.4269
Orosi,CA,7760.0,36.5434,-119.2903
Oroville,CA,45655.0,39.4999,-121.5634
Oxnard,CA,389792.0,34.1962,-119.1819
Pacific Beach,CA,4178.0,,
Palermo,CA,5713.0,39.4313,-121.5226
Palm Desert,CA,52932.0,33.7378,-116.3695
Palm Springs,CA,48142.0,33.8017,-116.5382
Palmdale,CA,157519.0,34.5944,-118.1057
Palo Alto,CA,67178.0,37.3913,-122.1467
Panorama City,CA,4178.0,,
Paradise,CA,35337.0,39.7558,-121.6063
Pasadena,CA,142647.0,34.1597,-118.139
Paso Robles,CA,4178.0,,
Perris,CA,77879.0,33.7899,-117.2233
Pico Rivera,CA,63522.0,33.9902,-118.0888
Pinion Hills,CA,4178.0,,
Pittsburg,CA,72141.0,38.0185,-121.897
Pleasanton,CA,83007.0,37.6663,-121.8805
Point Loma,CA,4178.0,,
Pomona,CA,152939.0,34.0585,-117.7626
Porterville,CA,76729.0,36.0644,-119.0338
Poway,CA,50041.0,32.9872,-117.0201
Rancho Cordova,CA,73563.0,38.574,-121.2523
Rancho Mirage,CA,18306.0,33.7634,-116.4271
Rancho Santa Margarita,CA,48793.0,33.6317,-117.5989
Rancho Tehama Reserve,CA,2259.0,40.001,-122.4418
Red Bluff,CA,18709.0,40.1735,-122.2413
Redding,CA,120270.0,40.5698,-122.365
Redlands,CA,71554.0,34.0511,-117.1712
Redondo Beach,CA,67908.0,33.8574,-118.3766
Redwood City,CA,86685.0,37.5026,-122.2252
Reseda,CA,4178.0,,
Rialto,CA,103562.0,34.1175,-117.3894
Richmond,CA,110040.0,37.9477,-122.339
Ripon,CA,15677.0,37.7415,-121.1309
Riverbank,CA,24740.0,37.7268,-120.9402
Riverside,CA,2084749.0,33.9381,-117.3948
Rocklin,CA,64838.0,38.8075,-121.2488
Rosamond,CA,20024.0,34.8658,-118.2154
Rosemead,CA,54554.0,34.0688,-118.0823
Roseville,CA,135329.0,38.7691,-121.3178
Sacramento,CA,1854698.0,38.5667,-121.4683
Salinas,CA,193590.0,36.6884,-121.6317
San Bernardino,CA,216995.0,34.1417,-117.2945
San Diego,CA,3210314.0,32.8312,-117.1225
San Diego County,CA,4178.0,,
San Fernando,CA,24714.0,34.2886,-118.4363
San Francisco,CA,3603761.0,37.7562,-122.443
San Gabriel,CA,40514.0,34.0948,-118.099
San Jose,CA,1821899.0,37.3021,-121.8489
San Leandro,CA,90553.0,37.7071,-122.1601
San Marcos,CA,96198.0,33.135,-117.1743
San Mateo,CA,104748.0,37.5522,-122.3122
San Ysidro,CA,4178.0,,
Sand City,CA,387.0,36.6189,-121.8478
Santa Ana,CA,334136.0,33.7366,-117.8819
Santa Barbara,CA,204034.0,34.4285,-119.7202
Santa Clara,CA,127134.0,37.3646,-121.968
Santa Clarita,CA,309378.0,34.4155,-118.4992
Santa Cruz,CA,177556.0,36.9789,-122.0346
Santa Maria,CA,140219.0,34.9333,-120.4432
Santa Monica,CA,92306.0,34.0232,-118.4813
Santa Nella,CA,1976.0,37.1014,-121.0153
Santa Paula,CA,30747.0,34.3521,-119.0698
Santa Rosa,CA,321908.0,38.4458,-122.7067
Santee,CA,58113.0,32.8554,-116.9851
Saratoga,CA,30905.0,37.2684,-122.0263
Seaside,CA,118110.0,36.6224,-121.8191
Selma,CA,44626.0,36.5744,-119.6156
Shafter,CA,20889.0,35.4794,-119.2013
Sherman Oaks,CA,4178.0,,
Siskiyou County,CA,4178.0,,
Smartsville,CA,140.0,39.2053,-121.2928
Solvang,CA,16741.0,34.5936,-120.1401
South El Monte,CA,20987.0,34.0493,-118.0484
South Gate,CA,95430.0,33.9448,-118.1926
South Lake Tahoe,CA,29890.0,38.9393,-119.9828
South Los Angeles,CA,4178.0,,
Stanton,CA,38528.0,33.8002,-117.9935
Stockton,CA,394467.0,37.9766,-121.3111
Studio City,CA,4178.0,,
Sunnyvale,CA,153656.0,37.3836,-122.0257
Sylmar,CA,4178.0,,
Tehachapi,CA,14491.0,35.127,-118.475
Tehama County,CA,4178.0,,
Temecula,CA,114327.0,33.4928,-117.1315
Thousand Oaks,CA,218729.0,34.1914,-118.8755
Torrance,CA,146758.0,33.8346,-118.3417
Tulare,CA,63855.0,36.1996,-119.3401
Turlock,CA,107208.0,37.5053,-120.8587
Tustin,CA,80498.0,33.7309,-117.8106
Twentynine Palms,CA,13664.0,34.1478,-116.0659
Union City,CA,75343.0,37.603,-122.0187
University City,CA,4178.0,,
Vacaville,CA,100801.0,38.359,-121.968
Valinda,CA,25080.0,34.04,-117.9301
Vallejo,CA,173844.0,38.1133,-122.2359
Valley View,CA,4178.0,,
Van Nuys,CA,4178.0,,
Venice,CA,4178.0,,
Victorville,CA,346948.0,34.5277,-117.3536
Visalia,CA,234573.0,36.3276,-119.3269
Vista,CA,101568.0,33.1896,-117.2386
Walnut Creek,CA,69773.0,37.9025,-122.0398
Wasco,CA,26935.0,35.5938,-119.3671
Watsonsville,CA,4178.0,,
Watsonville,CA,77700.0,36.9206,-121.7706
Weitchpec,CA,4178.0,,
West Covina,CA,107598.0,34.0555,-117.9112
West Goshen,CA,618.0,36.349,-119.4516
Westminster,CA,91564.0,33.7523,-117.9938
Whittier,CA,86838.0,33.9678,-118.0188
Willits,CA,8031.0,39.4047,-123.3494
Wilmington,CA,4178.0,,
Winchester,CA,2721.0,33.7146,-117.0775
Windsor,CA,27548.0,38.5418,-122.8086
Woodville,CA,1770.0,36.0898,-119.205
Yorba Linda,CA,68229.0,33.889,-117.7713
Yreka,CA,7437.0,41.7292,-122.6311
Yuba City,CA,120186.0,39.1357,-121.6381
Yucca Valley,CA,25009.0,34.1234,-116.4216
Adams County,CO,4178.0,,
Alamosa,CO,10963.0,37.4755,-105.877
Arvada,CO,118807.0,39.8321,-105.1511
Aurora,CO,366623.0,39.7084,-104.7274
