city,state,population,lat,lng
Avon,CO,6541.0,39.6445,-106.5133
Bailey,CO,4178.0,,
Boulder,CO,126054.0,40.0249,-105.2523
Brandon,CO,27.0,38.4464,-102.4412
Brighton,CO,40562.0,39.9716,-104.7964
Broomfield,CO,68341.0,39.9541,-105.0527
Cañon City,CO,4178.0,,
Centennial,CO,110250.0,39.5926,-104.8674
Clear Creek Canyon,CO,4178.0,,
Colorado City,CO,2316.0,37.9365,-104.8459
Colorado Springs,CO,623946.0,38.8674,-104.7606
Commerce City,CO,55923.0,39.8643,-104.8433
Denver,CO,2787266.0,39.7621,-104.8759
Dinosaur,CO,325.0,40.2405,-109.0086
Durango,CO,19662.0,37.2744,-107.8703
Eldorado Springs,CO,750.0,39.9367,-105.2625
Englewood,CO,34407.0,39.6468,-104.9942
Evans,CO,20470.0,40.366,-104.7389
Federal Heights,CO,12744.0,39.8651,-105.0154
Fort Collins,CO,303184.0,40.5475,-105.0651
Fort Lupton,CO,10019.0,40.0841,-104.8021
Fort Morgan,CO,13137.0,40.2539,-103.7919
Fountain,CO,29804.0,38.6888,-104.6829
Friendly Hills,CO,4178.0,,
Fruita,CO,13294.0,39.154,-108.7286
Glenwood Springs,CO,12000.0,39.5455,-107.3347
Golden,CO,20571.0,39.7406,-105.2118
Grand Junction,CO,136688.0,39.0877,-108.5673
Greeley,CO,133750.0,40.4151,-104.7705
Gunnison County,CO,4178.0,,
Hanover,CO,4178.0,,
Highlands Ranch,CO,105264.0,39.5419,-104.9708
Idaho Springs,CO,1782.0,39.7445,-105.5
LaSalle,CO,4178.0,,
Lakewood,CO,154958.0,39.6977,-105.1168
Larimer County,CO,4178.0,,
Lone Tree,CO,13566.0,39.5309,-104.871
Longmont,CO,99398.0,40.169,-105.0996
Loveland,CO,76701.0,40.4167,-105.0622
Montrose County,CO,4178.0,,
Monument,CO,7380.0,39.0736,-104.8468
Mountain View,CO,537.0,39.7748,-105.0567
New Castle,CO,5807.0,39.5785,-107.5262
North Fort Collins,CO,4178.0,,
Northglenn,CO,38928.0,39.9107,-104.9783
Orchard Mesa,CO,6380.0,39.0363,-108.5172
Park County,CO,4178.0,,
Parker,CO,54202.0,39.5084,-104.7755
Pleasant View,CO,4178.0,,
Pueblo,CO,142351.0,38.2713,-104.6105
Rangley,CO,4178.0,,
Rifle,CO,11038.0,39.5362,-107.772
Sedalia,CO,161.0,39.4396,-104.9698
Springfield,CO,1370.0,37.4049,-102.6189
Sterling,CO,15199.0,40.6207,-103.1919
Strasburg,CO,2888.0,39.7181,-104.3195
Thornton,CO,136978.0,39.9205,-104.9443
Trinidad,CO,8148.0,37.175,-104.4908
Valdez,CO,12.0,37.1239,-104.6794
Watkins,CO,643.0,39.6971,-104.5787
Westminister,CO,4178.0,,
Westminster,CO,112812.0,39.8837,-105.0624
Ansonia,CT,18813.0,41.3443,-73.0689
Bolton,CT,4884.0,,
Bridgeport,CT,938406.0,41.1918,-73.1953
Danbury,CT,177177.0,41.4016,-73.471
East Hartford,CT,49872.0,,
Fairfield,CT,62045.0,,
Hartford,CT,914751.0,41.7661,-72.6834
Manchester,CT,57584.0,,
Mashantucket,CT,235.0,41.4644,-71.9745
New Britain,CT,72710.0,41.6758,-72.7862
New Milford,CT,26805.0,,
Norwich,CT,203916.0,41.5495,-72.0882
Oakdale,CT,4178.0,,
Old Saybrook,CT,10061.0,,
Stamford,CT,130824.0,41.1035,-73.5583
Suffield,CT,15814.0,,
Thomaston,CT,7535.0,,
Waterbury,CT,191484.0,41.5583,-73.0361
West Haven,CT,54843.0,41.2739,-72.9672
Wethersfield,CT,26008.0,,
Washington,DC,5289420.0,38.9047,-77.0163
Claymont,DE,8707.0,39.8032,-75.4606
Dover,DE,115352.0,39.161,-75.5203
Frederica,DE,824.0,39.008,-75.4667
Lewes,DE,27087.0,38.7781,-75.1454
Middletown,DE,34132.0,39.4453,-75.7166
Milford,DE,20864.0,38.9091,-75.4224
New Castle,DE,5348.0,39.6685,-75.5692
Smyrna,DE,11584.0,39.2922,-75.6076
Wilmington,DE,71106.0,39.7415,-75.5413
Amelia Island,FL,4178.0,,
Apopka,FL,51564.0,28.7013,-81.5303
Auburndale,FL,15973.0,28.0962,-81.8011
Barberville,FL,4178.0,,
Bascom,FL,117.0,30.9278,-85.1181
Belle Glade,FL,27999.0,26.6919,-80.6672
Beverly Hills,FL,9144.0,28.9175,-82.4541
Boynton Beach,FL,77702.0,26.5281,-80.0811
Boyton Beach,FL,4178.0,,
Bradenton,FL,56508.0,27.49,-82.574
Brooksville,FL,8147.0,28.5405,-82.3903
Bruce,FL,4178.0,,
Bushnell,FL,4497.0,28.6856,-82.1159
Callahan,FL,1342.0,30.5619,-81.832
Cantonment,FL,4178.0,,
Cape Canaveral,FL,10413.0,28.3933,-80.605
Cape Coral,FL,630134.0,26.6445,-81.9955
Carollwood,FL,4178.0,,
Casselberry,FL,28395.0,28.6625,-81.3218
Citra,FL,4178.0,,
Clearwater,FL,115513.0,27.9788,-82.7624
Clermont,FL,35211.0,28.5403,-81.7296
Cocoa,FL,18532.0,28.382,-80.7674
Cocoa Beach,FL,11733.0,28.3326,-80.6274
Coleman,FL,852.0,28.8013,-82.0699
Coral Springs,FL,133037.0,26.2702,-80.2591
Crescent City,FL,2753.0,29.4375,-81.5173
Crystal Springs,FL,969.0,28.183,-82.1539
Dade City,FL,7134.0,28.3568,-82.1941
Davie,FL,105149.0,26.0789,-80.287
Daytona Beach,FL,68055.0,29.1994,-81.0982
DeLand,FL,32506.0,29.0224,-81.2873
Deland,FL,4178.0,,
Delray Beach,FL,68749.0,26.455,-80.0905
Deltona,FL,194061.0,28.905,-81.2136
Dundee,FL,4497.0,28.0115,-81.5995
Edgewater,FL,22399.0,28.962,-80.9415
Elkton,FL,4178.0,,
Englewood,FL,15169.0,26.9603,-82.3535
Eustis,FL,20827.0,28.856,-81.6781
Floral City,FL,5188.0,28.7065,-82.309
Florida City,FL,12155.0,25.4418,-80.4685
Fort Lauderdale,FL,180072.0,26.1412,-80.1464
Fort Myers,FL,79943.0,26.6195,-81.8303
Fort Pierce,FL,45581.0,27.4256,-80.343
Fort Walton Beach,FL,21895.0,30.4249,-86.6193
Fountain,FL,4178.0,,
Fruitland Park,FL,8181.0,28.8601,-81.9191
Ft. Lauderdale,FL,4178.0,,
Gainesville,FL,199695.0,29.6804,-82.3458
Gifford,FL,9683.0,27.6747,-80.4102
Grant-Valkaria,FL,4207.0,27.9322,-80.5655
Hallandale Beach,FL,39831.0,25.9854,-80.1423
Hernando,FL,8254.0,28.9451,-82.3781
Hialeah,FL,239673.0,25.8696,-80.3046
Hog Valley,FL,4178.0,,
Holiday,FL,20745.0,28.1864,-82.7429
Hollywood,FL,153627.0,26.0294,-80.1679
Homestead,FL,69907.0,25.4665,-80.4472
Immokalee,FL,25686.0,26.4253,-81.4251
Indialantic,FL,2894.0,28.087,-80.57
Indian River County,FL,4178.0,,
Indiantown,FL,5722.0,27.0375,-80.4913
Jacksonsville,FL,4178.0,,
Jacksonville,FL,1156291.0,30.3322,-81.6749
Jupiter,FL,64976.0,26.9199,-80.1128
Kendale Lakes,FL,59812.0,25.7081,-80.4078
Lady Lake,FL,15317.0,28.924,-81.93
Lake Asbury,FL,4178.0,,
Lake Mary,FL,16474.0,28.7592,-81.336
Lake Wales,FL,16066.0,27.9195,-81.5961
Lakeland,FL,291281.0,28.0557,-81.9545
Lakes Wales,FL,4178.0,,
Lantana,FL,11824.0,26.5834,-80.0564
Largo,FL,84754.0,27.9088,-82.7712
Lauderdale Lakes,FL,36069.0,26.1682,-80.2017
Lauderhill,FL,71970.0,26.1605,-80.2242
Lawtey,FL,723.0,30.0484,-82.0724
Lealman,FL,20755.0,27.8197,-82.6847
Leesburg,FL,148161.0,28.7658,-81.8995
Lehigh Acres,FL,116849.0,26.612,-81.6388
Little Havana,FL,4178.0,,
Loxahatchee,FL,4178.0,,
Manatee,FL,4178.0,,
Mandarin,FL,4178.0,,
Mascotte,FL,5616.0,28.611,-81.9106
Melbourne,FL,82011.0,28.1085,-80.6627
Mexico Beach,FL,1198.0,29.948,-85.4157
Miami,FL,6381966.0,25.7839,-80.2102
Miami Beach,FL,92307.0,25.8171,-80.1396
Miami Gardens,FL,113750.0,25.9433,-80.2426
Miami-Dade,FL,4178.0,,
Micanopy,FL,631.0,29.506,-82.2806
Middleburg,FL,13316.0,30.0502,-81.9011
Midway,FL,3326.0,30.4992,-84.4582
Milton,FL,9986.0,30.6286,-87.0522
Miramar,FL,140328.0,25.9773,-80.3351
Mulberry,FL,4118.0,27.9058,-81.9873
Naples,FL,21948.0,26.1505,-81.7936
Navarre,FL,34085.0,30.4174,-86.8907
Niceville,FL,15249.0,30.529,-86.4753
Nokomis,FL,3376.0,27.1227,-82.437
Noma,FL,206.0,30.9802,-85.6223
North Escambia,FL,4178.0,,
North Fort Myers,FL,40916.0,26.7243,-81.8491
North Miami Beach,FL,44124.0,25.9302,-80.166
North Port,FL,195992.0,27.0577,-82.1975
Oakland Park,FL,45035.0,26.178,-80.1528
Ocala,FL,164712.0,29.178,-82.1511
Old Town,FL,4178.0,,
Olustee,FL,4178.0,,
Opa-Locka,FL,4178.0,,
Orange City,FL,11697.0,28.9349,-81.2882
Orange County,FL,4178.0,,
Orange Park,FL,8705.0,30.1706,-81.7041
Orlando,FL,1776841.0,28.4772,-81.3369
Ormond Beach,FL,42816.0,29.296,-81.1003
Osteen,FL,4178.0,,
Palatka,FL,23597.0,29.6493,-81.6704
Palm Bay,FL,489912.0,27.955,-80.6628
Palm Beach Gardens,FL,55036.0,26.8486,-80.166
Palm Harbor,FL,61553.0,28.0847,-82.7481
Palmetto,FL,13661.0,27.5251,-82.5751
Panama City,FL,145239.0,30.1995,-85.6003
Panama City Beach,FL,12757.0,30.2369,-85.8774
Pensacola,FL,344400.0,30.4427,-87.1886
Pinellas Park,FL,52854.0,27.8589,-82.7076
Plant City,FL,38714.0,28.014,-82.1201
Plantation,FL,93909.0,26.126,-80.2617
Poinciana,FL,66465.0,28.1217,-81.482
Pompano Beach,FL,110473.0,26.2428,-80.1312
Port Charlotte,FL,59654.0,26.9918,-82.114
Port Orange,FL,63203.0,29.1084,-81.0137
Port Richey,FL,2831.0,28.2758,-82.725
Port St. Joe,FL,3770.0,29.8267,-85.3069
Port St. Lucie,FL,432589.0,27.2796,-80.3884
Putnam Hall,FL,4178.0,,
Quincy,FL,8791.0,30.5659,-84.5857
Riverview,FL,88191.0,27.8227,-82.3023
Rockledge,FL,27476.0,28.3201,-80.732
Ruskin,FL,22162.0,27.7065,-82.4209
Safety Harbor,FL,17844.0,28.008,-82.6965
San Carlos Park,FL,17597.0,26.4765,-81.8193
Sarasaota,FL,4178.0,,
Sarasota,FL,706245.0,27.3386,-82.543
Sebring,FL,62814.0,27.477,-81.453
Seville,FL,646.0,29.3364,-81.5065
Sneads,FL,1796.0,30.7085,-84.9249
Spring Hill,FL,104722.0,28.4797,-82.53
Springfield,FL,9437.0,30.1713,-85.6089
St. Augustine,FL,75932.0,29.8977,-81.31
St. Cloud,FL,51282.0,28.2294,-81.2829
St. Petersburg,FL,263255.0,27.793,-82.6652
Starke,FL,5593.0,29.9474,-82.1129
Sunrise,FL,94323.0,26.1547,-80.2997
Tallahassee,FL,253030.0,30.4551,-84.2527
Tamarac,FL,65669.0,26.2057,-80.2549
Tampa,FL,2804240.0,27.9942,-82.4451
Tarpon Springs,FL,25331.0,28.1493,-82.7623
Temple Terrace,FL,26489.0,28.0437,-82.3774
The Villages,FL,74618.0,28.9021,-81.9888
Thonotosassa,FL,13743.0,28.0464,-82.291
Titusville,FL,57497.0,28.5727,-80.8193
Vero Beach,FL,16919.0,27.6463,-80.393
Viera,FL,4178.0,,
Weeki Wachi,FL,4178.0,,
Wellington,FL,64848.0,26.6464,-80.2706
West Kendall,FL,4178.0,,
West Palm Beach,FL,110222.0,26.7469,-80.1316
Winter Haven,FL,245237.0,28.0118,-81.7017
Yulee,FL,12244.0,30.635,-81.5678
Acworth,GA,22698.0,34.0565,-84.6709
Adel,GA,6964.0,31.1271,-83.4232
Albany,GA,90515.0,31.5776,-84.1762
Arlington,GA,1387.0,31.4383,-84.7253
Athens,GA,140169.0,33.9508,-83.3689
Atlanta,GA,5228750.0,33.7627,-84.4225
Augusta,GA,389383.0,33.3645,-82.0708
Austell,GA,7215.0,33.8202,-84.6452
Bainbridge,GA,11558.0,30.9046,-84.5722
Barrow County,GA,4178.0,,
Bibb County,GA,4178.0,,
Bonaire,GA,4178.0,,
Brooklet,GA,1612.0,32.3898,-81.6668
Buford,GA,14868.0,34.1187,-83.9915
Byron,GA,5170.0,32.6475,-83.754
Calhoun,GA,33029.0,34.4917,-84.9391
Carnesville,GA,604.0,34.3723,-83.2336
Carroll County,GA,4178.0,,
Carrollton,GA,47140.0,33.5818,-85.0837
Cartersville,GA,55794.0,34.1632,-84.8007
Cedartown,GA,12744.0,34.0225,-85.248
Chamblee,GA,29428.0,33.8842,-84.3008
Chatham County,GA,4178.0,,
Clarkesville,GA,1828.0,34.6103,-83.5284
Claxton,GA,3500.0,32.1613,-81.9093
Clayton,GA,3706.0,34.8775,-83.4027
Cobb County,GA,4178.0,,
Cochran,GA,6024.0,32.3875,-83.3523
Columbus,GA,259160.0,32.51,-84.8771
Commerce,GA,6965.0,34.2127,-83.4729
Conyers,GA,16015.0,33.6645,-83.9967
Covington,GA,14044.0,33.6049,-83.8465
Cumming,GA,6284.0,34.2064,-84.1337
Cuthbert,GA,3558.0,31.7713,-84.794
Dahlonega,GA,6432.0,34.5302,-83.9796
Dalton,GA,86841.0,34.7691,-84.9712
DeKalb County,GA,4178.0,,
Decatur,GA,23832.0,33.7711,-84.2968
Douglas,GA,13960.0,31.5065,-82.8543
Douglasville,GA,33675.0,33.7384,-84.7068
Dunwoody,GA,49609.0,33.9418,-84.3122
East Point,GA,35282.0,33.6696,-84.47
Eden,GA,4178.0,,
Elberton,GA,5515.0,34.1064,-82.8706
Floyd County,GA,4178.0,,
Forest Park,GA,19823.0,33.6209,-84.359
Fort Valley,GA,9515.0,32.5522,-83.8817
Gainesville,GA,156248.0,34.2902,-83.8303
Glennville,GA,4509.0,31.9382,-81.9305
Glenwood,GA,742.0,32.1805,-82.6709
Greenville,GA,842.0,33.0322,-84.7162
Griffin,GA,22770.0,33.2418,-84.2747
Grovetown,GA,14109.0,33.4504,-82.2073
Habersham,GA,4178.0,,
Hall County,GA,4178.0,,
Hampton,GA,7732.0,33.3835,-84.2854
Henry County,GA,4178.0,,
Hiram,GA,3984.0,33.8771,-84.771
Hogansville,GA,3105.0,33.1674,-84.9027
Jackson,GA,5271.0,33.292,-83.9678
Jesup,GA,12090.0,31.5991,-81.8898
Johns Creek,GA,84350.0,34.0333,-84.2026
Kingsland,GA,17077.0,30.8193,-81.7219
LaGrange,GA,35918.0,33.0274,-85.0384
Lake Lanier,GA,4178.0,,
Lawrenceville,GA,29873.0,33.9525,-83.9928
Leesburg,GA,3765.0,31.7325,-84.1687
Lizella,GA,4178.0,,
Locust Grove,GA,6715.0,33.3436,-84.1066
Loganville,GA,12062.0,33.8353,-83.8957
Ludowici,GA,2210.0,31.7096,-81.7457
Lumpkin,GA,1159.0,32.0487,-84.798
Mableton,GA,39745.0,33.8132,-84.5656
Macon,GA,152663.0,32.8065,-83.6974
Marietta,GA,61048.0,33.9532,-84.5422
McIntosh County,GA,4178.0,,
Molena,GA,372.0,33.0118,-84.5002
Monroe,GA,16153.0,33.799,-83.716
Monticello,GA,2535.0,33.3075,-83.6863
Morrow,GA,7473.0,33.5816,-84.3392
Moultrie,GA,18536.0,31.1591,-83.7708
Newnan,GA,38909.0,33.3765,-84.776
Paulding County,GA,4178.0,,
Peachtree City,GA,35262.0,33.3943,-84.5711
Pearson,GA,2093.0,31.297,-82.8544
Port Wentworth,GA,8534.0,32.1942,-81.1984
Porterdale,GA,1481.0,33.5739,-83.894
Powder Springs,GA,15052.0,33.866,-84.6839
Rincon,GA,13572.0,32.2945,-81.2354
Riverdale,GA,16439.0,33.5639,-84.4103
Rockville,GA,4178.0,,
Rossville,GA,3984.0,34.9747,-85.2898
Roswell,GA,94786.0,34.0391,-84.3513
Salacoa,GA,4178.0,,
Sandy Springs,GA,106739.0,33.9366,-84.3703
Savannah,GA,280082.0,32.0281,-81.1785
Smyrna,GA,56685.0,33.8633,-84.5168
Snellville,GA,19738.0,33.8561,-84.0038
Spalding County,GA,4178.0,,
Stockbridge,GA,29114.0,33.5253,-84.2294
Stone Mountain,GA,6368.0,33.8034,-84.1724
Sylvester,GA,6350.0,31.53,-83.8338
Talking Rock,GA,69.0,34.5279,-84.4939
Thomas County,GA,4178.0,,
Thomasville,GA,24271.0,30.8394,-83.9783
Tyrone,GA,7336.0,33.4752,-84.5941
Union City,GA,21370.0,33.5942,-84.5628
Valdosta,GA,79294.0,30.8502,-83.2788
Walton County,GA,4178.0,,
White,GA,723.0,34.2824,-84.7472
Whitfield County,GA,4178.0,,
Woodstock,GA,31564.0,34.1026,-84.5085
Woodville,GA,352.0,33.6714,-83.1063
Aiea,HI,9332.0,21.3865,-157.9232
Hilo,HI,45703.0,19.6886,-155.0864
Honolulu,HI,833671.0,21.3294,-157.846
Kahuku,HI,2353.0,21.6793,-157.9473
Kalihi,HI,4178.0,,
Keaau,HI,2627.0,19.6156,-155.0372
Maui,HI,4178.0,,
Nanakuli,HI,11757.0,21.3892,-158.1445
North Shore,HI,4178.0,,
Pahoa,HI,772.0,19.4961,-154.9454
Papaaloa,HI,4178.0,,
Puna,HI,4178.0,,
Wailuku,HI,16995.0,20.8834,-156.5059
Altoona,IA,18699.0,41.648,-93.4782
Ankeny,IA,62416.0,41.7284,-93.6034
Boone,IA,12640.0,42.053,-93.877
Burlington,IA,28830.0,40.8072,-91.1247
Cedar Rapids,IA,186160.0,41.9667,-91.6781
Clinton,IA,30642.0,41.8434,-90.2409
Council Bluffs,IA,62316.0,41.2369,-95.8518
Creston,IA,7622.0,41.0597,-94.365
Dakota City,IA,816.0,42.7229,-94.1977
Davenport,IA,287413.0,41.5563,-90.6052
Des Moines,IA,481222.0,41.5725,-93.6105
Fort Dodge,IA,24223.0,42.5098,-94.1751
Fort Madison,IA,10326.0,40.6207,-91.3509
Moorland,IA,162.0,42.4414,-94.2954
Nashua,IA,1598.0,42.9501,-92.5417
North English,IA,1004.0,41.5168,-92.0777
Panora,IA,1069.0,41.691,-94.3637
Sioux City,IA,106279.0,42.4959,-96.3901
Urbandale,IA,43592.0,41.639,-93.7813
Webster City,IA,7489.0,42.4623,-93.8167
Wellman,IA,1419.0,41.4693,-91.8354
West Burlington,IA,2927.0,40.8215,-91.1755
West Des Moines,IA,65608.0,41.5522,-93.7805
Blackfoot,ID,15382.0,43.194,-112.3455
Boise,ID,385218.0,43.6007,-116.2312
Caldwell,ID,54660.0,43.6454,-116.6599
Coeur d'Alene,ID,112935.0,47.704,-116.7933
Coolin,ID,4178.0,,
Council,ID,865.0,44.7329,-116.4376
Garden City,ID,11890.0,43.6526,-116.2743
Gooding,ID,3606.0,42.9373,-114.7134
Hammett,ID,4178.0,,
Homedale,ID,2740.0,43.6154,-116.9379
Idaho Falls,ID,97548.0,43.4872,-112.0363
Jefferson County,ID,4178.0,,
Kuna,ID,19230.0,43.4863,-116.3982
Melba,ID,533.0,43.3725,-116.5322
Meridian,ID,99926.0,43.6112,-116.3968
Middleton,ID,7439.0,43.7116,-116.6153
Mountain Home,ID,16552.0,43.1325,-115.697
Nampa,ID,173863.0,43.5843,-116.5628
Pocatello,ID,71020.0,42.8716,-112.4652
Preston,ID,4477.0,42.0989,-111.88
Rexburg,ID,29859.0,43.8222,-111.7924
Rigby,ID,8987.0,43.6735,-111.9126
Sandpoint,ID,12349.0,48.2822,-116.5613
Weippe,ID,437.0,46.3787,-115.9396
Wendell,ID,2677.0,42.7745,-114.7025
Alton,IL,80462.0,38.9033,-90.1523
Antioch,IL,14235.0,42.4742,-88.0721
Arcola,IL,2840.0,39.6833,-88.3013
Aurora,IL,200965.0,41.7637,-88.2901
Beach Park,IL,13995.0,42.4261,-87.8584
Belleville,IL,41649.0,38.5165,-89.99
Benton,IL,7642.0,38.011,-88.9179
Bloomingdale,IL,22016.0,41.9497,-88.0895
Bridgeview,IL,16335.0,41.7402,-87.8067
Chicago,IL,8675982.0,41.8373,-87.6862
Chicago Heights,IL,29901.0,41.5101,-87.6347
Clinton,IL,8200.0,40.1468,-88.9633
Dalton,IL,4178.0,,
Danville,IL,48518.0,40.1423,-87.6114
Deerfield,IL,18946.0,42.1654,-87.8516
Des Plaines,IL,58193.0,42.0344,-87.9008
Dolton,IL,22793.0,41.6284,-87.5979
East St. Louis,IL,26662.0,38.6156,-90.1304
Elgin,IL,112456.0,42.0385,-88.3229
Forest Park,IL,13951.0,41.8683,-87.8157
Gurnee,IL,30767.0,42.3708,-87.9392
Harvey,IL,24908.0,41.6076,-87.6521
Hurst,IL,790.0,37.8351,-89.1442
Jerseyville,IL,8777.0,39.118,-90.3276
Joilet,IL,4178.0,,
Joliet,IL,148462.0,41.5189,-88.1499
Lakemoor,IL,6048.0,42.3396,-88.2028
Lansing,IL,27962.0,41.5648,-87.5462
Lawndale,IL,157.0,,
Lisle,IL,22912.0,41.7922,-88.0883
Lyons,IL,10585.0,41.8121,-87.8192
Mackinaw,IL,3399.0,40.534,-89.3556
Macoupin County,IL,4178.0,,
Maeystown,IL,160.0,38.2267,-90.233
Marion,IL,17762.0,37.7171,-88.9275
Markham,IL,12538.0,41.6,-87.6905
Metropolis,IL,6198.0,37.1566,-88.7083
Nokomis,IL,3183.0,39.3001,-89.2852
North Aurora,IL,18245.0,41.8083,-88.3413
North Riverside,IL,6564.0,41.8461,-87.8263
Peoria,IL,262010.0,40.7521,-89.6155
Quincy,IL,44860.0,39.9335,-91.3798
Rantoul,IL,13884.0,40.3031,-88.1549
Richton Park,IL,13505.0,41.4822,-87.7352
River Forest,IL,11132.0,41.895,-87.8194
Robbins,IL,5486.0,41.6431,-87.708
Rock Falls,IL,8911.0,41.7724,-89.6928
Rock Island,IL,38110.0,41.4699,-90.5827
Rockford,IL,285562.0,42.2598,-89.0641
Round Lake,IL,18444.0,42.3436,-88.1058
Shawnee National Forest,IL,4178.0,,
South Elgin,IL,22549.0,41.9906,-88.3134
Springfield,IL,159394.0,39.771,-89.6537
Stockton,IL,1746.0,42.3526,-90.0019
Villa Park,IL,21836.0,41.8864,-87.9779
Washington Park,IL,3933.0,38.6285,-90.0928
Waukegan,IL,87729.0,42.3697,-87.8716
Zion,IL,23952.0,42.4598,-87.8509
Avon,IN,17568.0,39.7599,-86.391
Beech Grove,IN,14795.0,39.7153,-86.087
Boonville,IN,6348.0,38.0469,-87.2847
Brookville,IN,2509.0,39.4233,-85.0114
Brownstown,IN,3111.0,38.8791,-86.0466
Clarksville,IN,21694.0,38.3221,-85.7673
Columbua,IN,4178.0,,
Crawfordsville,IN,18305.0,40.0428,-86.8975
Crown Point,IN,29625.0,41.4141,-87.3456
Dearborn County,IN,4178.0,,
Dyer,IN,15941.0,41.4978,-87.509
Elkhart,IN,148131.0,41.6912,-85.962
English,IN,629.0,38.3408,-86.4592
Evansville,IN,232285.0,37.9881,-87.5341
Fishers,IN,91832.0,39.9589,-85.9665
Fort Wayne,IN,328564.0,41.0885,-85.1436
French Lick,IN,1781.0,38.5462,-86.6202
Gary,IN,76008.0,41.5906,-87.3472
Goshen,IN,33220.0,41.574,-85.8304
Greenwood,IN,57375.0,39.6019,-86.1073
Hanover,IN,3513.0,38.7137,-85.4724
Harmony,IN,624.0,39.5335,-87.0734
Harrison County,IN,4178.0,,
Henry County,IN,4178.0,,
Huntington,IN,17886.0,40.8816,-85.5054
Indianapolis,IN,1564699.0,39.7771,-86.1458
Jeffersonville,IN,47383.0,38.3375,-85.7026
Knox,IN,3171.0,41.291,-86.621
Kokomo,IN,79099.0,40.464,-86.1277
Lafayette,IN,159293.0,40.399,-86.8593
Lawrence,IN,48704.0,39.8674,-85.9904
Memphis,IN,941.0,38.4892,-85.7679
Merrillville,IN,34871.0,41.4728,-87.3197
Monon,IN,1752.0,40.8642,-86.8787
Monroe County,IN,4178.0,,
Muncie,IN,88688.0,40.1989,-85.395
New Albany,IN,36461.0,38.3076,-85.8241
New Castle,IN,21855.0,39.919,-85.3697
North Manchester,IN,5761.0,41.0044,-85.775
Oakland City,IN,2490.0,38.3378,-87.3493
Owen County,IN,4178.0,,
Portage,IN,36672.0,41.5866,-87.1792
Randolph County,IN,4178.0,,
Salem,IN,6391.0,38.6048,-86.0977
Shelbyville,IN,20663.0,39.5325,-85.7762
South Bend,IN,281100.0,41.6771,-86.2692
South Haven,IN,5064.0,41.5438,-87.1367
Springville,IN,4178.0,,
Sullivan,IN,4351.0,39.0973,-87.4074
Terre Haute,IN,92722.0,39.4654,-87.3763
Vincennes,IN,20501.0,38.6759,-87.5102
Walton,IN,1021.0,40.6624,-86.2443
West Terre Haute,IN,2219.0,39.4638,-87.4506
Assaria,KS,408.0,38.6801,-97.6039
Chetopa,KS,1050.0,37.0376,-95.0926
Colby,KS,5436.0,39.3843,-101.0459
Finney County,KS,4178.0,,
Gardner,KS,21583.0,38.8158,-94.93
Hays,KS,21525.0,38.8816,-99.3219
Hesston,KS,3371.0,38.1403,-97.4272
Hutchinson,KS,42940.0,38.0671,-97.9081
Junction City,KS,38178.0,39.0271,-96.8497
